OBJECTID,NAME,CLASS,POP,INCORPDATE,ANCSA,Labels,Locator,Community_,GlobalID,created_us,created_da,last_edite,last_edi_1,Story_Map_
"224",Ohogamiut,Unincorporated,"0","0",Y,Ohogamiut*,K-6,"Ohogamiut*, K-6",d770e092-446d-4035-88a3-68084d2eaa1e,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"225",Holy Cross,Second Class City,"260","1968",Y,Holy Cross,L-5,"Holy Cross, L-5",3d0f0c2a-258e-4cae-91f3-437b1862b181,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"226",Shageluk,Second Class City,"145","1970",Y,Shageluk,L-5,"Shageluk, L-5",b56d50e6-f76e-432b-b3ee-0d3667302233,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"227",Anvik,Second Class City,"83","1969",Y,Anvik,K-5,"Anvik, K-5",ab460ab8-4dd1-4682-9ef5-7116b2ac788f,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"228",Aniak,Second Class City,"578","1972",Y,Aniak,L-6,"Aniak, L-6",e394b473-40aa-4899-9afd-5559cffcac37,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"229",Napaimute,Unincorporated,"3","0",Y,Napaimute,L-6,"Napaimute, L-6",8be540e5-9438-4f0d-af6a-ad8564837607,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"230",Crooked Creek,Unincorporated,"138","0",Y,Crooked Creek,L-6,"Crooked Creek, L-6",c8ec7eca-781c-41f6-8692-77129e24f447,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"231",Sleetmute,Unincorporated,"102","0",Y,Sleetmute,M-6,"Sleetmute, M-6",20e59dcb-7e99-4e03-9a33-18aecf5d0adc,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"232",Stony River,Unincorporated,"42","0",Y,Stony River,M-6,"Stony River, M-6",5addfb79-f41a-4ca4-83c1-cb754228d8ac,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"233",Lime Village,Unincorporated,"47","0",Y,Lime Village,N-6,"Lime Village, N-6",3a52d769-5cf9-4485-8c75-eb7dac8b4adb,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"234",Red Devil,Unincorporated,"49","0",Y,Red Devil,M-6,"Red Devil, M-6",cf517d62-d50a-44c3-943b-af1a2d9ca48e,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"235",Unalakleet,Second Class City,"803","1974",Y,Unalakleet,K-5,"Unalakleet, K-5",deeb7b7d-2b9b-4e7f-be22-d1267184464c,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"236",McGrath,Second Class City,"456","1975",Y,McGrath,N-5,"McGrath, N-5",1e99cf2c-140c-49f7-afc1-dcc9fb6b0e47,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"237",Takotna,Unincorporated,"63","0",Y,Takotna,M-5,"Takotna, M-5",68f0a5ac-78e0-4fca-a554-f8087a60ab7c,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"238",Ophir,Unincorporated,"0","0",N,Ophir,M-5,"Ophir, M-5",761171bd-91d9-4532-88e4-d8a917af5ab8,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"239",Nikolai,Second Class City,"108","1970",Y,Nikolai,N-5,"Nikolai, N-5",be0210ea-9957-4ec7-a5c1-2e03377c0974,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"240",Clark's Point,Second Class City,"66","1971",Y,Clark's Point,L-7,"Clark's Point, L-7",2881baea-7385-4130-985c-61d9e224eb39,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"241",Nondalton,Second Class City,"221","1971",Y,Nondalton,N-7,"Nondalton, N-7",175c5867-610c-460f-a659-6d5e86b9eef5,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"242",Aleknagik,Second Class City,"226","1973",Y,Aleknagik,L-7,"Aleknagik, L-7",54ac31fe-4ded-4089-8d03-ec5c972c48b0,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"243",Ekwok,Second Class City,"124","1974",Y,Ekwok,M-7,"Ekwok, M-7",d0cf7218-9c62-49de-b4d6-20fc2b5c484f,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"244",New Stuyahok,Second Class City,"452","1972",Y,New Stuyahok,M-7,"New Stuyahok, M-7",588902fb-225d-4581-82c6-365ebb0f9ae8,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"245",Naknek,Unincorporated,"640","0",Y,Naknek,M-7,"Naknek, M-7",0700892d-0093-49d9-9e84-1db283e82fa1,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"246",King Salmon,Unincorporated,"478","0",N,King Salmon,M-7,"King Salmon, M-7",d022b890-6db5-44d2-9cf3-a396c0844b63,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
